#,Place_Name,State,City,Address,Lunch-Time - IN,Lunch-Time - Out,Dinner Time - IN,Dinner Time - Out,Capacity,Contact,Lat,Long,Maps Url
98,Annapurna Canteen - CHNADRAYANGUTTA X-ROADS ,Telangana,Hyderabad,CHNADRAYANGUTTA X-ROADS  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.32663333,78.47691667,"https://www.google.com/maps/search/?api=1&query=17.3266333333333,78.4769166666667"
99,Annapurna Canteen - KINGKOTI HOSPITAL ,Telangana,Hyderabad,KINGKOTI HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.39316667,78.48085,"https://www.google.com/maps/search/?api=1&query=17.3931666666667,78.48085"
100,Annapurna Canteen - KPHB COLONY BUSTOP ,Telangana,Hyderabad,KPHB COLONY BUSTOP  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.47115,78.38736667,"https://www.google.com/maps/search/?api=1&query=17.47115,78.3873666666667"
101,Annapurna Canteen - RAKSHAPURAM ,Telangana,Hyderabad,RAKSHAPURAM  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.33856667,78.49535,"https://www.google.com/maps/search/?api=1&query=17.3385666666667,78.49535"
102,Annapurna Canteen - DHARNA CHOWK ,Telangana,Hyderabad,DHARNA CHOWK  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41305,78.4857,"https://www.google.com/maps/search/?api=1&query=17.41305,78.4857"
103,Annapurna Canteen - KISHANBAGH ,Telangana,Hyderabad,KISHANBAGH  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3401,78.4963,"https://www.google.com/maps/search/?api=1&query=17.3401,78.4963"
104,Annapurna Canteen - ESI NACHARAM ,Telangana,Hyderabad,ESI NACHARAM  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.43161667,78.55313333,"https://www.google.com/maps/search/?api=1&query=17.4316166666667,78.5531333333333"
105,Annapurna Canteen - IS SADAN ,Telangana,Hyderabad,IS SADAN  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.35825,78.51571667,"https://www.google.com/maps/search/?api=1&query=17.35825,78.5157166666667"
106,Annapurna Canteen - VATTEPALLY BUSTAND ,Telangana,Hyderabad,VATTEPALLY BUSTAND  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.32856667,78.457,"https://www.google.com/maps/search/?api=1&query=17.3285666666667,78.457"
107,"Annapurna Canteen - GANDHI STATUE, SAROORNAGAR ",Telangana,Hyderabad,"GANDHI STATUE, SAROORNAGAR  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.35436667,78.53221667,"https://www.google.com/maps/search/?api=1&query=17.3543666666667,78.5322166666667"
108,"Annapurna Canteen - NEAR RYTHU BAZAR, VANASTHALIPURAM ",Telangana,Hyderabad,"NEAR RYTHU BAZAR, VANASTHALIPURAM  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.33068333,78.57496667,"https://www.google.com/maps/search/?api=1&query=17.3306833333333,78.5749666666667"
109,"Annapurna Canteen - NETAJI NAGAR X-ROAD, AYODYA NAGAR ",Telangana,Hyderabad,"NETAJI NAGAR X-ROAD, AYODYA NAGAR  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.48501667,78.55563333,"https://www.google.com/maps/search/?api=1&query=17.4850166666667,78.5556333333333"
110,Annapurna Canteen - SUCHITRA 'X' ROADS ,Telangana,Hyderabad,SUCHITRA 'X' ROADS  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.49903333,78.4765,"https://www.google.com/maps/search/?api=1&query=17.4990333333333,78.4765"
111,"Annapurna Canteen - KHAJAGUDA, ANJANEYA SWAMY TEMPLE ",Telangana,Hyderabad,"KHAJAGUDA, ANJANEYA SWAMY TEMPLE  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4165,78.35465,"https://www.google.com/maps/search/?api=1&query=17.4165,78.35465"
112,"Annapurna Canteen - OPP. SRI NILAYAM, SAGAR ROAD ",Telangana,Hyderabad,"OPP. SRI NILAYAM, SAGAR ROAD  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.33968333,78.54875,"https://www.google.com/maps/search/?api=1&query=17.3396833333333,78.54875"
113,"Annapurna Canteen - OPP. SITARA, GUNTI JANGAIAH COLONY ",Telangana,Hyderabad,"OPP. SITARA, GUNTI JANGAIAH COLONY  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3439,78.55411667,"https://www.google.com/maps/search/?api=1&query=17.3439,78.5541166666667"
114,"Annapurna Canteen - NTR NAGAR,RYTHU BAZAR ",Telangana,Hyderabad,"NTR NAGAR,RYTHU BAZAR  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3556,78.54595,"https://www.google.com/maps/search/?api=1&query=17.3556,78.54595"
115,"Annapurna Canteen - SHOBANA COLONY,VEGETABLE MARKET ",Telangana,Hyderabad,"SHOBANA COLONY,VEGETABLE MARKET  Hyderabad Telangana",11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.46191667,78.45333333,"https://www.google.com/maps/search/?api=1&query=17.4619166666667,78.4533333333333"
116,Annapurna Canteen - CHENOY PLAY GROUND ,Telangana,Hyderabad,CHENOY PLAY GROUND  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4483,78.50826667,"https://www.google.com/maps/search/?api=1&query=17.4483,78.5082666666667"
117,Annapurna Canteen - ADDAGUTTA ,Telangana,Hyderabad,ADDAGUTTA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.44573333,78.51448333,"https://www.google.com/maps/search/?api=1&query=17.4457333333333,78.5144833333333"
118,Annapurna Canteen - MANIKESWAR NAGAR  ,Telangana,Hyderabad,MANIKESWAR NAGAR   Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.42123333,78.52386667,"https://www.google.com/maps/search/?api=1&query=17.4212333333333,78.5238666666667"
119,Annapurna Canteen - BEGUMPET ,Telangana,Hyderabad,BEGUMPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.4394,78.45773333,"https://www.google.com/maps/search/?api=1&query=17.4394,78.4577333333333"
120,Annapurna Canteen - WARASIGUDA ,Telangana,Hyderabad,WARASIGUDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41943333,78.51836667,"https://www.google.com/maps/search/?api=1&query=17.4194333333333,78.5183666666667"
121,Annapurna Canteen - ALICAFE-AMBERPET ,Telangana,Hyderabad,ALICAFE-AMBERPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38166667,78.5203,"https://www.google.com/maps/search/?api=1&query=17.3816666666667,78.5203"
122,Annapurna Canteen - CHAMPAPET ,Telangana,Hyderabad,CHAMPAPET  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.34876667,78.51475,"https://www.google.com/maps/search/?api=1&query=17.3487666666667,78.51475"
123,Annapurna Canteen - CHILUKA NAGAR ,Telangana,Hyderabad,CHILUKA NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41965,78.56496667,"https://www.google.com/maps/search/?api=1&query=17.41965,78.5649666666667"
124,Annapurna Canteen - CITY CIVIL COURT ,Telangana,Hyderabad,CITY CIVIL COURT  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36826667,78.47885,"https://www.google.com/maps/search/?api=1&query=17.3682666666667,78.47885"
125,Annapurna Canteen - FILM NAGAR BASTHI ,Telangana,Hyderabad,FILM NAGAR BASTHI  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.41431667,78.41166667,"https://www.google.com/maps/search/?api=1&query=17.4143166666667,78.4116666666667"
126,Annapurna Canteen - GACHIBOWLI FLY OVER ,Telangana,Hyderabad,GACHIBOWLI FLY OVER  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.43821667,78.3648,"https://www.google.com/maps/search/?api=1&query=17.4382166666667,78.3648"
127,Annapurna Canteen - GANDHI BHAVAN ,Telangana,Hyderabad,GANDHI BHAVAN  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38755,78.47188333,"https://www.google.com/maps/search/?api=1&query=17.38755,78.4718833333333"
128,Annapurna Canteen - GODE KI KHABER ,Telangana,Hyderabad,GODE KI KHABER  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.37778333,78.46236667,"https://www.google.com/maps/search/?api=1&query=17.3777833333333,78.4623666666667"
129,Annapurna Canteen - HASSAN NAGAR ,Telangana,Hyderabad,HASSAN NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.33978333,78.43406667,"https://www.google.com/maps/search/?api=1&query=17.3397833333333,78.4340666666667"
130,Annapurna Canteen - HAYAT NAGAR BUS STAND ,Telangana,Hyderabad,HAYAT NAGAR BUS STAND  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3273,78.60428333,"https://www.google.com/maps/search/?api=1&query=17.3273,78.6042833333333"
131,Annapurna Canteen - HYDERGUDA X ROADS ,Telangana,Hyderabad,HYDERGUDA X ROADS  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36526667,78.42811667,"https://www.google.com/maps/search/?api=1&query=17.3652666666667,78.4281166666667"
132,Annapurna Canteen - KACHEGUDA ,Telangana,Hyderabad,KACHEGUDA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38946667,78.49331667,"https://www.google.com/maps/search/?api=1&query=17.3894666666667,78.4933166666667"
133,Annapurna Canteen - KANDIKAL GATE ,Telangana,Hyderabad,KANDIKAL GATE  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.33348333,78.48105,"https://www.google.com/maps/search/?api=1&query=17.3334833333333,78.48105"
134,Annapurna Canteen - MANGALHAT EXCISE POLICE STATION ,Telangana,Hyderabad,MANGALHAT EXCISE POLICE STATION  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3763,78.45501667,"https://www.google.com/maps/search/?api=1&query=17.3763,78.4550166666667"
135,Annapurna Canteen - MATERNITY HOSPITAL KOTI ,Telangana,Hyderabad,MATERNITY HOSPITAL KOTI  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38588333,78.48711667,"https://www.google.com/maps/search/?api=1&query=17.3858833333333,78.4871166666667"
136,Annapurna Canteen - MIDHANI  Jn. ,Telangana,Hyderabad,MIDHANI  Jn.  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.34053333,78.5022,"https://www.google.com/maps/search/?api=1&query=17.3405333333333,78.5022"
137,Annapurna Canteen - MOTI NAGAR ,Telangana,Hyderabad,MOTI NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.45431667,78.42258333,"https://www.google.com/maps/search/?api=1&query=17.4543166666667,78.4225833333333"
138,Annapurna Canteen - NALGONDA X ROADS ,Telangana,Hyderabad,NALGONDA X ROADS  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.37503333,78.49835,"https://www.google.com/maps/search/?api=1&query=17.3750333333333,78.49835"
139,Annapurna Canteen - QULI QUTUBSHAHI POLYTECHNIC COLLEGE ,Telangana,Hyderabad,QULI QUTUBSHAHI POLYTECHNIC COLLEGE  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3525,78.45746667,"https://www.google.com/maps/search/?api=1&query=17.3525,78.4574666666667"
140,Annapurna Canteen - SANKESHWAR BAZAR ,Telangana,Hyderabad,SANKESHWAR BAZAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.35943333,78.5242,"https://www.google.com/maps/search/?api=1&query=17.3594333333333,78.5242"
141,Annapurna Canteen - TEEGALKUNTA ,Telangana,Hyderabad,TEEGALKUNTA  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3357,78.4573,"https://www.google.com/maps/search/?api=1&query=17.3357,78.4573"
142,Annapurna Canteen - VENKAT REDDY NAGAR ,Telangana,Hyderabad,VENKAT REDDY NAGAR  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.38625,78.52801667,"https://www.google.com/maps/search/?api=1&query=17.38625,78.5280166666667"
143,Annapurna Canteen - VIJAY NAGAR COLONY ,Telangana,Hyderabad,VIJAY NAGAR COLONY  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.3942,78.45011667,"https://www.google.com/maps/search/?api=1&query=17.3942,78.4501166666667"
144,Annapurna Canteen - YOUSUFGUDA WARD OFFICE ,Telangana,Hyderabad,YOUSUFGUDA WARD OFFICE  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.43636667,78.43501667,"https://www.google.com/maps/search/?api=1&query=17.4363666666667,78.4350166666667"
145,Annapurna Canteen - DURRU SHEHVAR HOSPITAL ,Telangana,Hyderabad,DURRU SHEHVAR HOSPITAL  Hyderabad Telangana,11:00,15:00,19:00,22:00, 100 ,040-21111111 ,17.36755,78.48326667,"https://www.google.com/maps/search/?api=1&query=17.36755,78.4832666666667"
